titulo,autor,duracion
The Primal Hunter 2,De: Zogarth,Duración: 19 h y 25 m
Stop People Pleasing,De: Hailey Magee,Duración: 10 h
Blood Money,De: Peter Schweizer,Duración: 7 h y 43 m
"Lujuria. Libro 1 [Lust, Book 1]",De: Eva Muñoz,Duración: 29 h
Wild Life,De: Rae Wynn-Grant,Duración: 8 h y 18 m
A Court of Wings and Ruin,De: Sarah J. Maas,Duración: 25 h y 9 m
The Zero Percent,De: Du'Vaul Dey,Duración: 8 h
Listen for the Lie,De: Amy Tintera,Duración: 9 h y 18 m
Sentinel,De: Mark Greaney,Duración: 17 h
The Two Towers,De: J. R. R. Tolkien,Duración: 20 h y 46 m
The Chronicles of Narnia Complete Audio Collection,De: C. S. Lewis,Duración: 33 h y 45 m
What Do You Need?,De: Lauren Wesley Wilson,Duración: 7 h y 26 m
Carl's Doomsday Scenario,De: Matt Dinniman,Duración: 11 h y 28 m
Christ Before Jesus,"De: Matthew Britt, Jaaron Wingo",Duración: 7 h y 36 m
The Dark Forest,"De: Cixin Liu, Joel Martinsen - translator",Duración: 22 h y 36 m
Heretics of Dune,De: Frank Herbert,Duración: 18 h y 4 m
How to ADHD,De: Jessica McCabe,Duración: 8 h y 58 m
A Kingdom of Flesh and Fire,De: Jennifer L. Armentrout,Duración: 24 h y 21 m
Rail-Laid Plans,De: Daniel Schinhofen,Duración: 11 h y 15 m
12 Rules for Life,"De: Jordan B. Peterson, Norman Doidge MD",Duración: 15 h y 40 m
Never Finished,De: David Goggins,Duración: 11 h y 6 m
The Tattooist of Auschwitz,De: Heather Morris,Duración: 7 h y 25 m
Global DifFusion,De: Jonathan Brooks,Duración: 20 h y 39 m
The Wise Man's Fear,De: Patrick Rothfuss,Duración: 42 h y 55 m
The Primal Hunter 2,De: Zogarth,Duración: 19 h y 25 m
Stop People Pleasing,De: Hailey Magee,Duración: 10 h
Death of a Fairy Tale,De: Emily Fluke,Duración: 7 h y 46 m
Golden Son,De: Pierce Brown,Duración: 19 h y 3 m
Ready Player Two,De: Ernest Cline,Duración: 13 h y 46 m
The Housemaid,De: Freida McFadden,Duración: 9 h y 46 m
Blood Warm Waters,De: Scott Cook,Duración: 11 h y 56 m
He Who Fights with Monsters 9,"De: Shirtaloon, Travis Deverell",Duración: 28 h y 3 m
Murder Backstage,"De: Jessica Fletcher, Terrie Farley Moran",Duración: 7 h y 26 m
Mr. Important,"De: Lucy Lennox, May Archer",Duración: 11 h y 47 m
A Kingdom of Flesh and Fire,De: Jennifer L. Armentrout,Duración: 24 h y 21 m
The Book of Elsewhere,"De: Keanu Reeves, China Miéville",Duración: 13 h
Sick Wicked Love,"De: Rachel Jonas, Nikki Thorne",Duración: 8 h y 20 m
"Heretical Fishing, Book 1",De: Haylock Jobson,Duración: 23 h y 56 m
"Harry Potter and the Half-Blood Prince, Book 6",De: J.K. Rowling,Duración: 18 h y 32 m
Nexus,De: Yuval Noah Harari,Duración: 14 h
The Shadow Rising,De: Robert Jordan,Duración: 41 h y 13 m
48 Laws of Power,De: Robert Greene,Duración: 23 h y 6 m
Canines and Cocktails,"De: Kevin Hearne, Delilah S. Dawson, Chuck Wendig",Duración: 7 h y 55 m
"Red Flags, Green Flags",De: Dr Ali Fenwick,Duración: 8 h y 28 m
"Mushoku Tensei: Jobless Reincarnation, Vol. 12",De: Rifujin na Magonote,Duración: 8 h y 26 m
Chasing Wild,De: Kristen Proby,Duración: Aún no se conoce
"Live, Love, Spy",De: Lexi Blake,Duración: 15 h y 11 m
A Glitch in the Protocols: A Humorous Isekai LitRPG,De: Icalos,Duración: 15 h y 34 m
House of Flame and Shadow,De: Sarah J. Maas,Duración: 29 h y 42 m
This Could Be Us,De: Kennedy Ryan,Duración: 12 h y 20 m
"Harry Potter and the Deathly Hallows, Book 7",De: J.K. Rowling,Duración: 21 h y 36 m
Monsters Mayhem & Misfits 2,"De: Jack Spry, Marcus Sloss",Duración: 10 h y 2 m
Childe Roland,De: J. M. Nelson,Duración: 3 h y 56 m
"Shōgun, Part Two",De: James Clavell,Duración: 29 h y 16 m
Callis and Toll,De: David Annandale,Duración: 9 h y 32 m
All My Secrets,De: Lynn Austin,Duración: 12 h y 37 m
Project Hail Mary,De: Andy Weir,Duración: 16 h y 10 m
Loud,De: Drew Afualo,Duración: 11 h y 15 m
"Harry Potter and the Sorcerer's Stone, Book 1",De: J.K. Rowling,Duración: 8 h y 18 m
A Dance with Dragons,De: George R.R. Martin,Duración: 48 h y 55 m
Hell Fae Commander,"De: Lexi C. Foss, J.R. Thorn",Duración: 10 h y 36 m
The Alpha's Fated Encounter,De: Roxie Ray,Duración: 21 h y 54 m
The Fake Out,De: Stephanie Archer,Duración: 12 h y 24 m
Elon Musk,De: Walter Isaacson,Duración: 20 h y 39 m
Get It Together,De: Jesse Watters,Duración: 11 h y 32 m
Dante,De: Sadie Kincaid,Duración: 9 h y 20 m
Take Control of Your Life,De: Mel Robbins,Duración: 10 h y 3 m
A Monster's Fate,De: Lynnea Lee,Duración: 5 h y 26 m
Hell Divers III: Deliverance,De: Nicholas Sansbury Smith,Duración: 11 h y 18 m
